full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data
@innovacommunity Kalo mudik bingung chargenya Mungkin gak efektif Atau mungkin fashum buat mobil listrik masih jauh dari cukup,innovacommunity Kalo mudik bingung chargenya Mungkin gak efektif Atau mungkin fashum buat mobil listrik masih jauh dari cukup,innovacommunity kalo mudik bingung chargenya mungkin gak efektif atau mungkin fashum buat mobil listrik masih jauh dari cukup,"['innovacommunity', 'kalo', 'mudik', 'bingung', 'chargenya', 'mungkin', 'gak', 'efektif', 'atau', 'mungkin', 'fashum', 'buat', 'mobil', 'listrik', 'masih', 'jauh', 'dari', 'cukup']","['innovacommunity', 'kalo', 'mudik', 'bingung', 'chargenya', 'gak', 'efektif', 'fashum', 'mobil', 'listrik']",innovacommunity kalo mudik bingung chargenya gak efektif fashum mobil listrik
@innovacommunity Selain ga punya duit untuk kedepannya mobil listrik kalo rusak mahal benerinnya,innovacommunity Selain ga punya duit untuk kedepannya mobil listrik kalo rusak mahal benerinnya,innovacommunity selain ga punya duit untuk kedepannya mobil listrik kalo rusak mahal benerinnya,"['innovacommunity', 'selain', 'ga', 'punya', 'duit', 'untuk', 'kedepannya', 'mobil', 'listrik', 'kalo', 'rusak', 'mahal', 'benerinnya']","['innovacommunity', 'ga', 'duit', 'kedepannya', 'mobil', 'listrik', 'kalo', 'rusak', 'mahal', 'benerinnya']",innovacommunity ga duit depan mobil listrik kalo rusak mahal benerinnya
@innovacommunity Kalau laptop kan baterai hamil isa dilepas baterainya hidup dicolok langsung ke sumber listrik. Kalau mobil listrik tanpa baterai colok wall charger isa jalan g ya,innovacommunity Kalau laptop kan baterai hamil isa dilepas baterainya hidup dicolok langsung ke sumber listrik Kalau mobil listrik tanpa baterai colok wall charger isa jalan g ya,innovacommunity kalau laptop kan baterai hamil isa dilepas baterainya hidup dicolok langsung ke sumber listrik kalau mobil listrik tanpa baterai colok wall charger isa jalan g ya,"['innovacommunity', 'kalau', 'laptop', 'kan', 'baterai', 'hamil', 'isa', 'dilepas', 'baterainya', 'hidup', 'dicolok', 'langsung', 'ke', 'sumber', 'listrik', 'kalau', 'mobil', 'listrik', 'tanpa', 'baterai', 'colok', 'wall', 'charger', 'isa', 'jalan', 'g', 'ya']","['innovacommunity', 'laptop', 'baterai', 'hamil', 'isa', 'dilepas', 'baterainya', 'hidup', 'dicolok', 'langsung', 'sumber', 'listrik', 'mobil', 'listrik', 'baterai', 'colok', 'wall', 'charger', 'isa', 'jalan', 'g', 'ya']",innovacommunity laptop baterai hamil isa lepas baterai hidup colok langsung sumber listrik mobil listrik baterai colok wall charger isa jalan g ya
@innovacommunity Alasan gue ga beli mobil listrik.. takut kesetrum,innovacommunity Alasan gue ga beli mobil listrik takut kesetrum,innovacommunity alasan gue ga beli mobil listrik takut kesetrum,"['innovacommunity', 'alasan', 'gue', 'ga', 'beli', 'mobil', 'listrik', 'takut', 'kesetrum']","['innovacommunity', 'alasan', 'gue', 'ga', 'beli', 'mobil', 'listrik', 'takut', 'kesetrum']",innovacommunity alas gue ga beli mobil listrik takut setrum
@sicupuh @iambadung @innovacommunity 2022 di Snoepen Sherlock ga sengaja ketemu kakak dr sobat istri saya. Abis sarapan Snoepen jam 8-9 pagi kok ga balik2 ke JKT.. udah jam 11an saya tanya knp blm balik? Iya lagi ngecas mobil di BIP. Nunggu full jam 1an. Wkwkwkw alright... dr situ saya belum siap dgn mobil listrik.,sicupuh iambadung innovacommunity  di Snoepen Sherlock ga sengaja ketemu kakak dr sobat istri saya Abis sarapan Snoepen jam  pagi kok ga balik ke JKT udah jam an saya tanya knp blm balik Iya lagi ngecas mobil di BIP Nunggu full jam an Wkwkwkw alright dr situ saya belum siap dgn mobil listrik,sicupuh iambadung innovacommunity  di snoepen sherlock ga sengaja ketemu kakak dr sobat istri saya abis sarapan snoepen jam  pagi kok ga balik ke jkt udah jam an saya tanya knp blm balik iya lagi ngecas mobil di bip nunggu full jam an wkwkwkw alright dr situ saya belum siap dgn mobil listrik,"['sicupuh', 'iambadung', 'innovacommunity', 'di', 'snoepen', 'sherlock', 'ga', 'sengaja', 'ketemu', 'kakak', 'dr', 'sobat', 'istri', 'saya', 'abis', 'sarapan', 'snoepen', 'jam', 'pagi', 'kok', 'ga', 'balik', 'ke', 'jkt', 'udah', 'jam', 'an', 'saya', 'tanya', 'knp', 'blm', 'balik', 'iya', 'lagi', 'ngecas', 'mobil', 'di', 'bip', 'nunggu', 'full', 'jam', 'an', 'wkwkwkw', 'alright', 'dr', 'situ', 'saya', 'belum', 'siap', 'dgn', 'mobil', 'listrik']","['sicupuh', 'iambadung', 'innovacommunity', 'snoepen', 'sherlock', 'ga', 'sengaja', 'ketemu', 'kakak', 'dr', 'sobat', 'istri', 'abis', 'sarapan', 'snoepen', 'jam', 'pagi', 'ga', 'jkt', 'udah', 'jam', 'an', 'knp', 'blm', 'iya', 'ngecas', 'mobil', 'bip', 'nunggu', 'full', 'jam', 'an', 'wkwkwkw', 'alright', 'dr', 'situ', 'dgn', 'mobil', 'listrik']",sicupuh iambadung innovacommunity snoepen sherlock ga sengaja ketemu kakak dr sobat istri abis sarap snoepen jam pagi ga jkt udah jam an knp blm iya ngecas mobil bip nunggu full jam an wkwkwkw alright dr situ dgn mobil listrik
@innovacommunity Ga bisa dicas pakai power bank makanya ga mau beli mobil listrik,innovacommunity Ga bisa dicas pakai power bank makanya ga mau beli mobil listrik,innovacommunity ga bisa dicas pakai power bank makanya ga mau beli mobil listrik,"['innovacommunity', 'ga', 'bisa', 'dicas', 'pakai', 'power', 'bank', 'makanya', 'ga', 'mau', 'beli', 'mobil', 'listrik']","['innovacommunity', 'ga', 'dicas', 'pakai', 'power', 'bank', 'ga', 'beli', 'mobil', 'listrik']",innovacommunity ga cas pakai power bank ga beli mobil listrik
@innovacommunity Selain nggak punya duit pakai mobil listrik gabisa mode cumi darat,innovacommunity Selain nggak punya duit pakai mobil listrik gabisa mode cumi darat,innovacommunity selain nggak punya duit pakai mobil listrik gabisa mode cumi darat,"['innovacommunity', 'selain', 'nggak', 'punya', 'duit', 'pakai', 'mobil', 'listrik', 'gabisa', 'mode', 'cumi', 'darat']","['innovacommunity', 'nggak', 'duit', 'pakai', 'mobil', 'listrik', 'gabisa', 'mode', 'cumi', 'darat']",innovacommunity nggak duit pakai mobil listrik gabisa mode cumi darat
@innovacommunity Mobil listrik baterainya bisa hamil g ya,innovacommunity Mobil listrik baterainya bisa hamil g ya,innovacommunity mobil listrik baterainya bisa hamil g ya,"['innovacommunity', 'mobil', 'listrik', 'baterainya', 'bisa', 'hamil', 'g', 'ya']","['innovacommunity', 'mobil', 'listrik', 'baterainya', 'hamil', 'g', 'ya']",innovacommunity mobil listrik baterai hamil g ya
@LANGlTKELABU ᅠ ᅠᅠ ᅠ ᅠᅠ Konteks aku lagi lihat katalog mobil listrik warna pink karena yang warna biru inden 3 bulan. ᅠ ᅠ ᅠ ᅠ,LANGlTKELABU     Konteks aku lagi lihat katalog mobil listrik warna pink karena yang warna biru inden  bulan    ,langltkelabu     konteks aku lagi lihat katalog mobil listrik warna pink karena yang warna biru inden  bulan    ,"['langltkelabu', 'konteks', 'aku', 'lagi', 'lihat', 'katalog', 'mobil', 'listrik', 'warna', 'pink', 'karena', 'yang', 'warna', 'biru', 'inden', 'bulan']","['langltkelabu', 'konteks', 'lihat', 'katalog', 'mobil', 'listrik', 'warna', 'pink', 'warna', 'biru', 'inden']",langltkelabu konteks lihat katalog mobil listrik warna pink warna biru inden
@innovacommunity Beli mobil diesel/bensin bisa kepake minimal 10 tahun sebelum mulai banyak masalah kalaupun dijual masih dapet lah harga 50% dari harga beli. Kalo mobil listrik bagai hp aja tiap tahun pasti ada teknologi baru dan kalo batere rusak di 10 tahun sama aja beli baru.,innovacommunity Beli mobil dieselbensin bisa kepake minimal  tahun sebelum mulai banyak masalah kalaupun dijual masih dapet lah harga  dari harga beli Kalo mobil listrik bagai hp aja tiap tahun pasti ada teknologi baru dan kalo batere rusak di  tahun sama aja beli baru,innovacommunity beli mobil dieselbensin bisa kepake minimal  tahun sebelum mulai banyak masalah kalaupun dijual masih dapet lah harga  dari harga beli kalo mobil listrik bagai hp aja tiap tahun pasti ada teknologi baru dan kalo batere rusak di  tahun sama aja beli baru,"['innovacommunity', 'beli', 'mobil', 'dieselbensin', 'bisa', 'kepake', 'minimal', 'tahun', 'sebelum', 'mulai', 'banyak', 'masalah', 'kalaupun', 'dijual', 'masih', 'dapet', 'lah', 'harga', 'dari', 'harga', 'beli', 'kalo', 'mobil', 'listrik', 'bagai', 'hp', 'aja', 'tiap', 'tahun', 'pasti', 'ada', 'teknologi', 'baru', 'dan', 'kalo', 'batere', 'rusak', 'di', 'tahun', 'sama', 'aja', 'beli', 'baru']","['innovacommunity', 'beli', 'mobil', 'dieselbensin', 'kepake', 'minimal', 'dijual', 'dapet', 'harga', 'harga', 'beli', 'kalo', 'mobil', 'listrik', 'hp', 'aja', 'teknologi', 'kalo', 'batere', 'rusak', 'aja', 'beli']",innovacommunity beli mobil dieselbensin kepake minimal jual dapet harga harga beli kalo mobil listrik hp aja teknologi kalo batere rusak aja beli
Ish ish ish...ga abis pikir sama ortu yang ngasih bocah naek motor mobil ato bahkan sepeda listrik!!! Barusan motorku diem depan rumah disruduk sampe jatoh... bocah lho ini..jalan depan rumah itu muat 3 mobil pulak..kan jalan gede ya keitung nya.,Ish ish ishga abis pikir sama ortu yang ngasih bocah naek motor mobil ato bahkan sepeda listrik Barusan motorku diem depan rumah disruduk sampe jatoh bocah lho inijalan depan rumah itu muat  mobil pulakkan jalan gede ya keitung nya,ish ish ishga abis pikir sama ortu yang ngasih bocah naek motor mobil ato bahkan sepeda listrik barusan motorku diem depan rumah disruduk sampe jatoh bocah lho inijalan depan rumah itu muat  mobil pulakkan jalan gede ya keitung nya,"['ish', 'ish', 'ishga', 'abis', 'pikir', 'sama', 'ortu', 'yang', 'ngasih', 'bocah', 'naek', 'motor', 'mobil', 'ato', 'bahkan', 'sepeda', 'listrik', 'barusan', 'motorku', 'diem', 'depan', 'rumah', 'disruduk', 'sampe', 'jatoh', 'bocah', 'lho', 'inijalan', 'depan', 'rumah', 'itu', 'muat', 'mobil', 'pulakkan', 'jalan', 'gede', 'ya', 'keitung', 'nya']","['ish', 'ish', 'ishga', 'abis', 'pikir', 'ortu', 'ngasih', 'bocah', 'naek', 'motor', 'mobil', 'ato', 'sepeda', 'listrik', 'barusan', 'motorku', 'diem', 'rumah', 'disruduk', 'sampe', 'jatoh', 'bocah', 'lho', 'inijalan', 'rumah', 'muat', 'mobil', 'pulakkan', 'jalan', 'gede', 'ya', 'keitung', 'nya']",ish ish ishga abis pikir ortu ngasih bocah naek motor mobil ato sepeda listrik barusan motor diem rumah disruduk sampe jatoh bocah lho inijalan rumah muat mobil pulakkan jalan gede ya keitung nya
@innovacommunity Kompor aja masih pakai kompor gas water heater gas masa mobil pakai listrik,innovacommunity Kompor aja masih pakai kompor gas water heater gas masa mobil pakai listrik,innovacommunity kompor aja masih pakai kompor gas water heater gas masa mobil pakai listrik,"['innovacommunity', 'kompor', 'aja', 'masih', 'pakai', 'kompor', 'gas', 'water', 'heater', 'gas', 'masa', 'mobil', 'pakai', 'listrik']","['innovacommunity', 'kompor', 'aja', 'pakai', 'kompor', 'gas', 'water', 'heater', 'gas', 'mobil', 'pakai', 'listrik']",innovacommunity kompor aja pakai kompor gas water heater gas mobil pakai listrik
@innovacommunity Belum nemu ada mobil listrik dengan tiga pedal,innovacommunity Belum nemu ada mobil listrik dengan tiga pedal,innovacommunity belum nemu ada mobil listrik dengan tiga pedal,"['innovacommunity', 'belum', 'nemu', 'ada', 'mobil', 'listrik', 'dengan', 'tiga', 'pedal']","['innovacommunity', 'nemu', 'mobil', 'listrik', 'pedal']",innovacommunity nemu mobil listrik pedal
@Tu94436 @innovacommunity saya itung sejak teknologi tsb jadi mass product.. mobil listrik produksi massal pertama Mitsubishi i-MiEV thn 2009. ya 15 tahun tuh masih awal lah ya di sebuah timeline teknologi.,Tu innovacommunity saya itung sejak teknologi tsb jadi mass product mobil listrik produksi massal pertama Mitsubishi iMiEV thn  ya  tahun tuh masih awal lah ya di sebuah timeline teknologi,tu innovacommunity saya itung sejak teknologi tsb jadi mass product mobil listrik produksi massal pertama mitsubishi imiev thn  ya  tahun tuh masih awal lah ya di sebuah timeline teknologi,"['tu', 'innovacommunity', 'saya', 'itung', 'sejak', 'teknologi', 'tsb', 'jadi', 'mass', 'product', 'mobil', 'listrik', 'produksi', 'massal', 'pertama', 'mitsubishi', 'imiev', 'thn', 'ya', 'tahun', 'tuh', 'masih', 'awal', 'lah', 'ya', 'di', 'sebuah', 'timeline', 'teknologi']","['tu', 'innovacommunity', 'itung', 'teknologi', 'tsb', 'mass', 'product', 'mobil', 'listrik', 'produksi', 'massal', 'mitsubishi', 'imiev', 'thn', 'ya', 'tuh', 'ya', 'timeline', 'teknologi']",tu innovacommunity itung teknologi tsb mass product mobil listrik produksi massal mitsubishi imiev thn ya tuh ya timeline teknologi
@azizbilly2 @innovacommunity Ga praktis. Mobil pake BBM tinggal isi di pom bayar jalan. Kalo mobil listrik perlu waktu buat ngisi batere nya. Mungkin kalo hidup saya udah kelewat santuy nanti yaa slow living lah istilahnya baru mikir ganti mobil listrik,azizbilly innovacommunity Ga praktis Mobil pake BBM tinggal isi di pom bayar jalan Kalo mobil listrik perlu waktu buat ngisi batere nya Mungkin kalo hidup saya udah kelewat santuy nanti yaa slow living lah istilahnya baru mikir ganti mobil listrik,azizbilly innovacommunity ga praktis mobil pake bbm tinggal isi di pom bayar jalan kalo mobil listrik perlu waktu buat ngisi batere nya mungkin kalo hidup saya udah kelewat santuy nanti yaa slow living lah istilahnya baru mikir ganti mobil listrik,"['azizbilly', 'innovacommunity', 'ga', 'praktis', 'mobil', 'pake', 'bbm', 'tinggal', 'isi', 'di', 'pom', 'bayar', 'jalan', 'kalo', 'mobil', 'listrik', 'perlu', 'waktu', 'buat', 'ngisi', 'batere', 'nya', 'mungkin', 'kalo', 'hidup', 'saya', 'udah', 'kelewat', 'santuy', 'nanti', 'yaa', 'slow', 'living', 'lah', 'istilahnya', 'baru', 'mikir', 'ganti', 'mobil', 'listrik']","['azizbilly', 'innovacommunity', 'ga', 'praktis', 'mobil', 'pake', 'bbm', 'tinggal', 'isi', 'pom', 'bayar', 'jalan', 'kalo', 'mobil', 'listrik', 'ngisi', 'batere', 'nya', 'kalo', 'hidup', 'udah', 'kelewat', 'santuy', 'yaa', 'slow', 'living', 'istilahnya', 'mikir', 'ganti', 'mobil', 'listrik']",azizbilly innovacommunity ga praktis mobil pake bbm tinggal isi pom bayar jalan kalo mobil listrik ngisi batere nya kalo hidup udah lewat santuy yaa slow living istilah mikir ganti mobil listrik
@innovacommunity Mahalll setelah 10 tahun pasti keluar ongkos 60% dari harga beli untuk ganti batre. Anggep 400 juta harga mobil selama 10 tahun total keluar ongkos jadi 600 termasuk harga mobil. Apakah mobil bukan listrik keluar senilai segini selama 10 tahun?,innovacommunity Mahalll setelah  tahun pasti keluar ongkos  dari harga beli untuk ganti batre Anggep  juta harga mobil selama  tahun total keluar ongkos jadi  termasuk harga mobil Apakah mobil bukan listrik keluar senilai segini selama  tahun,innovacommunity mahalll setelah  tahun pasti keluar ongkos  dari harga beli untuk ganti batre anggep  juta harga mobil selama  tahun total keluar ongkos jadi  termasuk harga mobil apakah mobil bukan listrik keluar senilai segini selama  tahun,"['innovacommunity', 'mahalll', 'setelah', 'tahun', 'pasti', 'keluar', 'ongkos', 'dari', 'harga', 'beli', 'untuk', 'ganti', 'batre', 'anggep', 'juta', 'harga', 'mobil', 'selama', 'tahun', 'total', 'keluar', 'ongkos', 'jadi', 'termasuk', 'harga', 'mobil', 'apakah', 'mobil', 'bukan', 'listrik', 'keluar', 'senilai', 'segini', 'selama', 'tahun']","['innovacommunity', 'mahalll', 'ongkos', 'harga', 'beli', 'ganti', 'batre', 'anggep', 'juta', 'harga', 'mobil', 'total', 'ongkos', 'harga', 'mobil', 'mobil', 'listrik', 'senilai', 'segini']",innovacommunity mahalll ongkos harga beli ganti batre anggep juta harga mobil total ongkos harga mobil mobil listrik nila gin
